
Total score 	95/100
	
Creation of Cloud9 Environment 	5/5
	
Exercise 1 	5/5
	
Exercise 2 	5/5
	
Exercise 3 	5/5
	
Exercise 4 	5/5
	
Exercise 5 	5/5
	
Exercise 6 	5/5
	
Exercise 7 	5/5
	
Exercise 8 	5/5
	
Exercise 9 	0/5
	
Exercise 10 	5/5
	
Exercise 11 	5/5
	
Exercise 12 	5/5
	
Exercise 13 	5/5
	
Exercise 14 	10/10
	
Exercise 15 	10/10
	
Exercise 16 	10/10
	
